Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
Clothes,1.91,10,EU,15.28,2.101,0.002,13.177
Plastic,4.55,75,Germany,27.3,2.275,0.041,24.984
Clothes,6.8,75,India,54.4,13.6,0.061,40.739
E-waste,8.58,75,Germany,102.96,4.29,0.077,98.593
Paper,4.84,75,EU,13.068,5.324,0.044,7.7
Glass,2.97,10,India,4.752,5.94,0.004,0.0
Clothes,9.9,10,USA,79.2,11.88,0.012,67.308
Glass,3.41,75,India,5.456,6.82,0.031,0.0
E-waste,2.35,100,USA,28.2,2.82,0.028,25.352
Glass,4.27,5,USA,6.832,5.124,0.003,1.705
Books,0.57,10,USA,1.425,0.684,0.001,0.74
Paper,5.09,5,USA,13.743,6.108,0.003,7.632
Books,8.35,25,India,20.875,16.7,0.025,4.15
Glass,7.6,50,USA,12.16,9.12,0.046,2.994
Paper,4.33,5,Germany,11.691,2.165,0.003,9.523
Glass,2.8,75,EU,4.48,3.08,0.025,1.375
Paper,4.11,10,EU,11.097,4.521,0.005,6.571
Glass,8.89,25,EU,14.224,9.779,0.027,4.418
Paper,8.23,5,USA,22.221,9.876,0.005,12.34
E-waste,5.8,50,Germany,69.6,2.9,0.035,66.665
Plastic,8.23,5,EU,49.38,9.053,0.005,40.322
Books,8.34,10,EU,20.85,9.174,0.01,11.666
Plastic,1.67,75,India,10.02,3.34,0.015,6.665
Glass,8.75,100,India,14.0,17.5,0.105,0.0
Plastic,6.88,10,EU,41.28,7.568,0.008,33.704
Glass,5.89,25,India,9.424,11.78,0.018,0.0
Glass,6.85,100,USA,10.96,8.22,0.082,2.658
Paper,1.3,75,Germany,3.51,0.65,0.012,2.848
E-waste,2.85,5,Germany,34.2,1.425,0.002,32.773
Plastic,9.49,5,EU,56.94,10.439,0.006,46.495
Clothes,3.19,100,USA,25.52,3.828,0.038,21.654
Clothes,7.74,25,USA,61.92,9.288,0.023,52.609
Plastic,2.93,5,USA,17.58,3.516,0.002,14.062
Glass,8.21,75,Germany,13.136,4.105,0.074,8.957
Books,4.83,10,Germany,12.075,2.415,0.006,9.654
Books,6.28,25,Germany,15.7,3.14,0.019,12.541
Plastic,9.45,75,EU,56.7,10.395,0.085,46.22
E-waste,7.06,100,USA,84.72,8.472,0.085,76.163
Paper,5.3,75,Germany,14.31,2.65,0.048,11.612
Glass,9.59,5,EU,15.344,10.549,0.006,4.789
Plastic,9.68,50,EU,58.08,10.648,0.058,47.374
E-waste,5.99,10,Germany,71.88,2.995,0.007,68.878
Paper,3.03,10,India,8.181,6.06,0.004,2.117
Books,2.05,10,USA,5.125,2.46,0.002,2.663
Books,5.71,25,USA,14.275,6.852,0.017,7.406
Glass,2.55,75,EU,4.08,2.805,0.023,1.252
Plastic,8.9,25,Germany,53.4,4.45,0.027,48.923
Paper,0.57,50,India,1.539,1.14,0.003,0.396
Glass,3.34,25,Germany,5.344,1.67,0.01,3.664
E-waste,1.95,75,Germany,23.4,0.975,0.018,22.407
Plastic,4.73,100,India,28.38,9.46,0.057,18.863
E-waste,5.82,25,India,69.84,11.64,0.017,58.183
Glass,5.2,100,USA,8.32,6.24,0.062,2.018
Paper,3.07,25,Germany,8.289,1.535,0.009,6.745
Glass,8.21,5,Germany,13.136,4.105,0.005,9.026
Paper,4.48,100,USA,12.096,5.376,0.054,6.666
Paper,8.44,25,India,22.788,16.88,0.025,5.883
Paper,6.66,10,Germany,17.982,3.33,0.008,14.644
Glass,8.63,50,USA,13.808,10.356,0.052,3.4
Books,1.03,5,India,2.575,2.06,0.001,0.514
Plastic,9.32,75,Germany,55.92,4.66,0.084,51.176
Books,5.52,10,USA,13.8,6.624,0.007,7.169
Plastic,1.86,25,Germany,11.16,0.93,0.006,10.224
Paper,8.62,75,EU,23.274,9.482,0.078,13.714
Glass,5.2,50,Germany,8.32,2.6,0.031,5.689
Glass,9.41,5,EU,15.056,10.351,0.006,4.699
Books,9.87,10,India,24.675,19.74,0.012,4.923
Paper,0.78,100,Germany,2.106,0.39,0.009,1.707
Plastic,1.44,5,EU,8.64,1.584,0.001,7.055
Plastic,3.4,50,Germany,20.4,1.7,0.02,18.68
Clothes,6.39,75,EU,51.12,7.029,0.058,44.033
Glass,9.44,100,India,15.104,18.88,0.113,0.0
E-waste,9.73,50,EU,116.76,10.703,0.058,105.999
Clothes,1.37,10,India,10.96,2.74,0.002,8.218
Paper,9.6,50,USA,25.92,11.52,0.058,14.342
Plastic,7.04,10,USA,42.24,8.448,0.008,33.784
Books,7.89,100,EU,19.725,8.679,0.095,10.951
Clothes,7.72,5,India,61.76,15.44,0.005,46.315
Glass,7.37,75,USA,11.792,8.844,0.066,2.882
Clothes,6.24,50,Germany,49.92,3.12,0.037,46.763
Books,7.72,25,Germany,19.3,3.86,0.023,15.417
Clothes,9.14,50,Germany,73.12,4.57,0.055,68.495
Glass,4.18,25,Germany,6.688,2.09,0.013,4.585
Clothes,8.77,75,USA,70.16,10.524,0.079,59.557
Paper,3.75,75,EU,10.125,4.125,0.034,5.966
Plastic,0.8,100,USA,4.8,0.96,0.01,3.83
E-waste,2.39,10,EU,28.68,2.629,0.003,26.048
Books,9.53,100,India,23.825,19.06,0.114,4.651
E-waste,5.65,5,USA,67.8,6.78,0.003,61.017
Paper,1.96,50,EU,5.292,2.156,0.012,3.124
Paper,5.51,10,Germany,14.877,2.755,0.007,12.115
Paper,3.32,5,USA,8.964,3.984,0.002,4.978
Books,8.34,10,EU,20.85,9.174,0.01,11.666
Paper,8.83,100,India,23.841,17.66,0.106,6.075
Paper,9.09,75,USA,24.543,10.908,0.082,13.553
Clothes,8.68,100,USA,69.44,10.416,0.104,58.92
Paper,9.01,100,EU,24.327,9.911,0.108,14.308
Plastic,7.32,50,Germany,43.92,3.66,0.044,40.216
Glass,5.85,50,USA,9.36,7.02,0.035,2.305
Clothes,3.64,75,Germany,29.12,1.82,0.033,27.267
E-waste,8.08,25,USA,96.96,9.696,0.024,87.24
Books,9.91,100,India,24.775,19.82,0.119,4.836
Clothes,0.46,25,India,3.68,0.92,0.001,2.759
Clothes,8.88,5,India,71.04,17.76,0.005,53.275
E-waste,9.29,50,Germany,111.48,4.645,0.056,106.779
Clothes,1.41,25,USA,11.28,1.692,0.004,9.584
Clothes,4.67,50,Germany,37.36,2.335,0.028,34.997
Clothes,3.67,75,Germany,29.36,1.835,0.033,27.492
E-waste,2.0,5,Germany,24.0,1.0,0.001,22.999
Plastic,5.31,75,India,31.86,10.62,0.048,21.192
Clothes,7.13,10,USA,57.04,8.556,0.009,48.475
Plastic,3.49,25,USA,20.94,4.188,0.01,16.742
Paper,7.67,100,EU,20.709,8.437,0.092,12.18
Clothes,5.62,25,EU,44.96,6.182,0.017,38.761
E-waste,2.02,50,USA,24.24,2.424,0.012,21.804
Plastic,7.89,25,India,47.34,15.78,0.024,31.536
E-waste,1.91,5,Germany,22.92,0.955,0.001,21.964
Glass,9.78,50,Germany,15.648,4.89,0.059,10.699
Plastic,1.07,10,India,6.42,2.14,0.001,4.279
Glass,1.21,100,India,1.936,2.42,0.015,0.0
Books,4.35,50,India,10.875,8.7,0.026,2.149
Books,4.42,5,Germany,11.05,2.21,0.003,8.837
Paper,0.55,50,USA,1.485,0.66,0.003,0.822
E-waste,5.61,10,Germany,67.32,2.805,0.007,64.508
Books,6.93,75,India,17.325,13.86,0.062,3.403
Plastic,0.77,100,EU,4.62,0.847,0.009,3.764
Glass,7.22,75,India,11.552,14.44,0.065,0.0
E-waste,8.9,25,EU,106.8,9.79,0.027,96.983
E-waste,0.91,5,EU,10.92,1.001,0.001,9.918
Glass,7.48,100,India,11.968,14.96,0.09,0.0
Clothes,9.7,25,Germany,77.6,4.85,0.029,72.721
Glass,5.26,10,Germany,8.416,2.63,0.006,5.78
Books,8.48,50,India,21.2,16.96,0.051,4.189
Clothes,3.1,5,Germany,24.8,1.55,0.002,23.248
Plastic,0.59,50,EU,3.54,0.649,0.004,2.887
Books,6.12,100,EU,15.3,6.732,0.073,8.495
Glass,0.46,50,Germany,0.736,0.23,0.003,0.503
Clothes,1.17,50,India,9.36,2.34,0.007,7.013
Plastic,8.26,100,India,49.56,16.52,0.099,32.941
Clothes,6.41,75,Germany,51.28,3.205,0.058,48.017
E-waste,5.95,25,EU,71.4,6.545,0.018,64.837
Books,9.99,100,Germany,24.975,4.995,0.12,19.86
E-waste,0.94,100,India,11.28,1.88,0.011,9.389
Books,5.07,100,India,12.675,10.14,0.061,2.474
Plastic,7.52,50,USA,45.12,9.024,0.045,36.051
Paper,3.4,10,Germany,9.18,1.7,0.004,7.476
E-waste,6.94,25,USA,83.28,8.328,0.021,74.931
Clothes,4.77,50,India,38.16,9.54,0.029,28.591
Clothes,5.31,100,EU,42.48,5.841,0.064,36.575
Clothes,8.34,50,India,66.72,16.68,0.05,49.99
Clothes,1.58,100,Germany,12.64,0.79,0.019,11.831
Glass,6.76,75,India,10.816,13.52,0.061,0.0
Plastic,9.5,100,India,57.0,19.0,0.114,37.886
Paper,3.34,75,USA,9.018,4.008,0.03,4.98
E-waste,1.3,75,India,15.6,2.6,0.012,12.988
Paper,5.35,100,USA,14.445,6.42,0.064,7.961
Paper,6.23,100,USA,16.821,7.476,0.075,9.27
Clothes,2.92,25,India,23.36,5.84,0.009,17.511
E-waste,8.38,5,Germany,100.56,4.19,0.005,96.365
Clothes,7.78,50,India,62.24,15.56,0.047,46.633
Books,8.87,5,Germany,22.175,4.435,0.005,17.735
E-waste,2.05,50,India,24.6,4.1,0.012,20.488
Glass,1.95,25,Germany,3.12,0.975,0.006,2.139
Paper,8.24,100,USA,22.248,9.888,0.099,12.261
Plastic,3.97,5,EU,23.82,4.367,0.002,19.451
Books,6.57,75,EU,16.425,7.227,0.059,9.139
Glass,9.91,100,EU,15.856,10.901,0.119,4.836
E-waste,4.07,50,EU,48.84,4.477,0.024,44.339
Books,2.96,10,EU,7.4,3.256,0.004,4.14
Clothes,9.46,25,Germany,75.68,4.73,0.028,70.922
Paper,3.04,100,USA,8.208,3.648,0.036,4.524
E-waste,1.71,100,Germany,20.52,0.855,0.021,19.644
E-waste,8.77,25,Germany,105.24,4.385,0.026,100.829
Paper,3.97,75,USA,10.719,4.764,0.036,5.919
Paper,4.51,10,Germany,12.177,2.255,0.005,9.917
Glass,7.39,100,Germany,11.824,3.695,0.089,8.04
E-waste,3.68,50,Germany,44.16,1.84,0.022,42.298
E-waste,4.2,75,USA,50.4,5.04,0.038,45.322
Plastic,2.27,50,USA,13.62,2.724,0.014,10.882
Paper,1.16,100,EU,3.132,1.276,0.014,1.842
Clothes,5.31,100,EU,42.48,5.841,0.064,36.575
Books,1.59,25,India,3.975,3.18,0.005,0.79
Plastic,7.57,100,EU,45.42,8.327,0.091,37.002
Plastic,8.47,10,EU,50.82,9.317,0.01,41.493
Plastic,5.67,100,EU,34.02,6.237,0.068,27.715
Clothes,6.42,5,USA,51.36,7.704,0.004,43.652
E-waste,0.36,100,EU,4.32,0.396,0.004,3.92
Clothes,2.55,10,Germany,20.4,1.275,0.003,19.122
Plastic,3.63,5,India,21.78,7.26,0.002,14.518
Glass,4.56,10,EU,7.296,5.016,0.005,2.275
Glass,3.33,50,EU,5.328,3.663,0.02,1.645
Books,8.91,75,India,22.275,17.82,0.08,4.375
Books,3.73,25,India,9.325,7.46,0.011,1.854
E-waste,3.05,25,Germany,36.6,1.525,0.009,35.066
Glass,8.81,25,EU,14.096,9.691,0.026,4.379
Books,2.51,100,EU,6.275,2.761,0.03,3.484
Paper,0.57,50,Germany,1.539,0.285,0.003,1.251
Books,8.44,50,EU,21.1,9.284,0.051,11.765
Plastic,7.07,75,EU,42.42,7.777,0.064,34.579
Books,9.03,10,Germany,22.575,4.515,0.011,18.049
Books,4.09,25,India,10.225,8.18,0.012,2.033
Glass,9.09,75,USA,14.544,10.908,0.082,3.554
Clothes,2.79,100,India,22.32,5.58,0.033,16.707
Paper,4.4,50,USA,11.88,5.28,0.026,6.574
Glass,1.05,100,EU,1.68,1.155,0.013,0.512
Clothes,6.55,25,Germany,52.4,3.275,0.02,49.105
Paper,4.43,5,Germany,11.961,2.215,0.003,9.743
Clothes,7.76,50,Germany,62.08,3.88,0.047,58.153
Plastic,6.63,5,India,39.78,13.26,0.004,26.516
Books,9.41,5,EU,23.525,10.351,0.006,13.168
Paper,3.63,10,Germany,9.801,1.815,0.004,7.982
Paper,8.07,25,India,21.789,16.14,0.024,5.625
Glass,1.19,50,India,1.904,2.38,0.007,0.0
Glass,3.22,5,Germany,5.152,1.61,0.002,3.54
Books,1.98,75,India,4.95,3.96,0.018,0.972
Clothes,9.37,100,EU,74.96,10.307,0.112,64.541
Plastic,8.53,25,India,51.18,17.06,0.026,34.094
Glass,6.32,100,USA,10.112,7.584,0.076,2.452
Plastic,5.19,5,EU,31.14,5.709,0.003,25.428
Paper,2.9,25,USA,7.83,3.48,0.009,4.341
Books,3.03,10,EU,7.575,3.333,0.004,4.238
Clothes,4.94,25,EU,39.52,5.434,0.015,34.071
Plastic,4.69,5,India,28.14,9.38,0.003,18.757
Clothes,9.12,25,EU,72.96,10.032,0.027,62.901
Clothes,9.97,75,Germany,79.76,4.985,0.09,74.685
Plastic,0.84,25,USA,5.04,1.008,0.003,4.029
Clothes,2.66,5,India,21.28,5.32,0.002,15.958
Books,7.01,50,Germany,17.525,3.505,0.042,13.978
Glass,8.73,100,Germany,13.968,4.365,0.105,9.498
E-waste,5.34,50,Germany,64.08,2.67,0.032,61.378
Paper,8.43,100,EU,22.761,9.273,0.101,13.387
E-waste,3.21,50,USA,38.52,3.852,0.019,34.649
Books,9.5,50,Germany,23.75,4.75,0.057,18.943
Clothes,9.93,100,USA,79.44,11.916,0.119,67.405
E-waste,9.73,75,EU,116.76,10.703,0.088,105.969
E-waste,4.86,10,USA,58.32,5.832,0.006,52.482
E-waste,4.16,50,India,49.92,8.32,0.025,41.575
Plastic,1.97,5,India,11.82,3.94,0.001,7.879
Books,5.67,5,USA,14.175,6.804,0.003,7.368
E-waste,0.84,25,India,10.08,1.68,0.003,8.397
Plastic,3.3,5,USA,19.8,3.96,0.002,15.838
Glass,3.33,75,India,5.328,6.66,0.03,0.0
Paper,5.28,100,Germany,14.256,2.64,0.063,11.553
Glass,0.93,5,EU,1.488,1.023,0.001,0.464
Glass,5.57,10,Germany,8.912,2.785,0.007,6.12
Books,6.34,5,EU,15.85,6.974,0.004,8.872
Plastic,0.26,25,Germany,1.56,0.13,0.001,1.429
Glass,3.65,25,USA,5.84,4.38,0.011,1.449
Books,3.02,75,EU,7.55,3.322,0.027,4.201
E-waste,6.65,75,EU,79.8,7.315,0.06,72.425
Paper,2.76,50,EU,7.452,3.036,0.017,4.399
Clothes,2.36,100,EU,18.88,2.596,0.028,16.256
Clothes,7.07,100,India,56.56,14.14,0.085,42.335
E-waste,0.85,10,Germany,10.2,0.425,0.001,9.774
Clothes,5.85,75,Germany,46.8,2.925,0.053,43.822
Plastic,9.27,50,India,55.62,18.54,0.056,37.024
Glass,3.49,75,EU,5.584,3.839,0.031,1.714
E-waste,6.52,25,USA,78.24,7.824,0.02,70.396
Plastic,8.08,100,EU,48.48,8.888,0.097,39.495
Plastic,6.54,10,Germany,39.24,3.27,0.008,35.962
Paper,7.93,50,USA,21.411,9.516,0.048,11.847
Plastic,8.16,25,Germany,48.96,4.08,0.024,44.856
Books,0.98,10,India,2.45,1.96,0.001,0.489
E-waste,1.96,50,EU,23.52,2.156,0.012,21.352
Glass,9.9,5,EU,15.84,10.89,0.006,4.944
Glass,8.36,5,Germany,13.376,4.18,0.005,9.191
E-waste,7.14,50,Germany,85.68,3.57,0.043,82.067
Glass,4.32,75,EU,6.912,4.752,0.039,2.121
Clothes,7.68,10,USA,61.44,9.216,0.009,52.215
E-waste,1.78,50,Germany,21.36,0.89,0.011,20.459
Clothes,4.41,5,EU,35.28,4.851,0.003,30.426
E-waste,9.32,25,EU,111.84,10.252,0.028,101.56
E-waste,8.17,25,USA,98.04,9.804,0.025,88.211
Clothes,9.52,75,EU,76.16,10.472,0.086,65.602
E-waste,6.28,25,Germany,75.36,3.14,0.019,72.201
E-waste,5.71,75,Germany,68.52,2.855,0.051,65.614
Books,0.84,10,India,2.1,1.68,0.001,0.419
Plastic,5.45,25,India,32.7,10.9,0.016,21.784
Glass,3.67,50,India,5.872,7.34,0.022,0.0
Clothes,7.04,10,USA,56.32,8.448,0.008,47.864
Books,4.98,10,India,12.45,9.96,0.006,2.484
Clothes,4.32,50,USA,34.56,5.184,0.026,29.35
Books,1.15,75,India,2.875,2.3,0.01,0.565
Clothes,6.73,25,EU,53.84,7.403,0.02,46.417
Books,0.74,100,USA,1.85,0.888,0.009,0.953
Clothes,3.05,75,Germany,24.4,1.525,0.027,22.848
Paper,5.24,5,EU,14.148,5.764,0.003,8.381
E-waste,5.14,5,Germany,61.68,2.57,0.003,59.107
Paper,8.98,100,Germany,24.246,4.49,0.108,19.648
E-waste,7.7,5,Germany,92.4,3.85,0.005,88.545
Glass,5.43,25,EU,8.688,5.973,0.016,2.699
Glass,2.94,75,Germany,4.704,1.47,0.026,3.208
Books,9.49,25,Germany,23.725,4.745,0.028,18.952
Plastic,9.67,50,India,58.02,19.34,0.058,38.622
Books,3.55,10,India,8.875,7.1,0.004,1.771
Glass,0.48,25,Germany,0.768,0.24,0.001,0.527
Plastic,1.7,100,India,10.2,3.4,0.02,6.78
Glass,8.53,75,Germany,13.648,4.265,0.077,9.306
Paper,4.19,100,USA,11.313,5.028,0.05,6.235
Clothes,7.53,100,Germany,60.24,3.765,0.09,56.385
Plastic,7.21,75,USA,43.26,8.652,0.065,34.543
Glass,1.67,100,EU,2.672,1.837,0.02,0.815
Plastic,4.18,5,EU,25.08,4.598,0.003,20.479
Books,4.4,100,USA,11.0,5.28,0.053,5.667
E-waste,1.38,100,USA,16.56,1.656,0.017,14.887
Glass,5.68,50,Germany,9.088,2.84,0.034,6.214
Clothes,1.55,75,EU,12.4,1.705,0.014,10.681
E-waste,6.13,100,India,73.56,12.26,0.074,61.226
Plastic,6.15,50,Germany,36.9,3.075,0.037,33.788
E-waste,2.76,75,India,33.12,5.52,0.025,27.575
E-waste,2.18,75,Germany,26.16,1.09,0.02,25.05
Paper,1.73,75,India,4.671,3.46,0.016,1.195
Paper,3.34,75,EU,9.018,3.674,0.03,5.314
E-waste,3.27,25,USA,39.24,3.924,0.01,35.306
Glass,5.84,50,USA,9.344,7.008,0.035,2.301
Plastic,9.93,100,EU,59.58,10.923,0.119,48.538
Paper,7.29,25,EU,19.683,8.019,0.022,11.642
Plastic,9.26,25,EU,55.56,10.186,0.028,45.346
Books,3.08,25,USA,7.7,3.696,0.009,3.995
Plastic,5.53,5,USA,33.18,6.636,0.003,26.541
Glass,1.18,100,Germany,1.888,0.59,0.014,1.284
Plastic,0.94,50,India,5.64,1.88,0.006,3.754
Plastic,4.04,25,EU,24.24,4.444,0.012,19.784
Plastic,6.23,10,India,37.38,12.46,0.007,24.913
E-waste,4.25,5,India,51.0,8.5,0.003,42.497
Glass,1.21,50,USA,1.936,1.452,0.007,0.477
Clothes,7.63,100,India,61.04,15.26,0.092,45.688
Clothes,7.2,25,USA,57.6,8.64,0.022,48.938
Clothes,5.4,10,India,43.2,10.8,0.006,32.394
Books,6.59,5,India,16.475,13.18,0.004,3.291
Plastic,9.25,100,India,55.5,18.5,0.111,36.889
Clothes,3.86,100,EU,30.88,4.246,0.046,26.588
E-waste,5.85,25,India,70.2,11.7,0.018,58.482
Books,2.35,5,Germany,5.875,1.175,0.001,4.699
E-waste,6.9,5,EU,82.8,7.59,0.004,75.206
Glass,9.69,100,USA,15.504,11.628,0.116,3.76
Clothes,3.08,10,EU,24.64,3.388,0.004,21.248
Books,8.52,5,Germany,21.3,4.26,0.005,17.035
E-waste,7.25,25,Germany,87.0,3.625,0.022,83.353
Glass,8.37,10,India,13.392,16.74,0.01,0.0
Paper,7.09,100,USA,19.143,8.508,0.085,10.55
Plastic,8.15,75,USA,48.9,9.78,0.073,39.047
Clothes,2.83,10,USA,22.64,3.396,0.003,19.241
Paper,4.55,5,India,12.285,9.1,0.003,3.182
Plastic,4.4,5,USA,26.4,5.28,0.003,21.117
Glass,4.06,10,EU,6.496,4.466,0.005,2.025
Glass,3.55,75,India,5.68,7.1,0.032,0.0
E-waste,4.26,50,India,51.12,8.52,0.026,42.574
Books,1.95,5,USA,4.875,2.34,0.001,2.534
Paper,8.68,5,EU,23.436,9.548,0.005,13.883
Plastic,3.8,100,India,22.8,7.6,0.046,15.154
Paper,2.79,10,India,7.533,5.58,0.003,1.95
E-waste,3.42,25,India,41.04,6.84,0.01,34.19
Plastic,3.5,10,USA,21.0,4.2,0.004,16.796
Books,3.78,25,EU,9.45,4.158,0.011,5.281
Glass,6.03,10,India,9.648,12.06,0.007,0.0
E-waste,8.79,50,USA,105.48,10.548,0.053,94.879
Clothes,3.36,75,USA,26.88,4.032,0.03,22.818
Glass,1.19,75,EU,1.904,1.309,0.011,0.584
E-waste,3.4,50,EU,40.8,3.74,0.02,37.04
Plastic,3.24,25,EU,19.44,3.564,0.01,15.866
Clothes,5.44,5,EU,43.52,5.984,0.003,37.533
Plastic,1.9,75,EU,11.4,2.09,0.017,9.293
E-waste,5.6,100,India,67.2,11.2,0.067,55.933
Clothes,7.36,75,Germany,58.88,3.68,0.066,55.134
Glass,3.6,25,EU,5.76,3.96,0.011,1.789
E-waste,5.02,10,EU,60.24,5.522,0.006,54.712
Clothes,7.18,25,EU,57.44,7.898,0.022,49.52
Books,2.8,75,EU,7.0,3.08,0.025,3.895
Clothes,9.41,5,USA,75.28,11.292,0.006,63.982
Glass,8.33,5,India,13.328,16.66,0.005,0.0
Clothes,3.21,10,India,25.68,6.42,0.004,19.256
Books,4.55,100,USA,11.375,5.46,0.055,5.86
Glass,0.96,75,Germany,1.536,0.48,0.009,1.047
E-waste,5.88,75,USA,70.56,7.056,0.053,63.451
Clothes,0.57,10,Germany,4.56,0.285,0.001,4.274
E-waste,1.23,50,EU,14.76,1.353,0.007,13.4
Paper,7.6,10,Germany,20.52,3.8,0.009,16.711
E-waste,6.32,5,USA,75.84,7.584,0.004,68.252
Glass,8.26,100,India,13.216,16.52,0.099,0.0
Books,4.52,100,India,11.3,9.04,0.054,2.206
Paper,3.53,10,USA,9.531,4.236,0.004,5.291
E-waste,4.84,100,EU,58.08,5.324,0.058,52.698
Books,1.06,75,USA,2.65,1.272,0.01,1.368
Clothes,6.77,25,EU,54.16,7.447,0.02,46.693
Books,8.88,100,Germany,22.2,4.44,0.107,17.653
Glass,1.98,10,USA,3.168,2.376,0.002,0.79
Clothes,4.48,10,EU,35.84,4.928,0.005,30.907
Paper,3.39,10,India,9.153,6.78,0.004,2.369
Paper,8.22,50,India,22.194,16.44,0.049,5.705
Glass,8.5,100,Germany,13.6,4.25,0.102,9.248
E-waste,7.02,5,Germany,84.24,3.51,0.004,80.726
Paper,5.66,25,EU,15.282,6.226,0.017,9.039
Plastic,2.52,75,EU,15.12,2.772,0.023,12.325
Glass,0.63,10,EU,1.008,0.693,0.001,0.314
Plastic,0.73,100,India,4.38,1.46,0.009,2.911
E-waste,3.73,50,Germany,44.76,1.865,0.022,42.873
Clothes,6.84,50,EU,54.72,7.524,0.041,47.155
Clothes,5.13,100,USA,41.04,6.156,0.062,34.822
Paper,4.46,25,Germany,12.042,2.23,0.013,9.799
Clothes,0.65,5,Germany,5.2,0.325,0.0,4.875
Clothes,3.0,10,Germany,24.0,1.5,0.004,22.496
Paper,6.22,5,USA,16.794,7.464,0.004,9.326
Paper,5.53,25,EU,14.931,6.083,0.017,8.831
Plastic,2.82,10,India,16.92,5.64,0.003,11.277
Glass,2.68,5,India,4.288,5.36,0.002,0.0
Glass,4.9,75,Germany,7.84,2.45,0.044,5.346
Plastic,8.27,10,EU,49.62,9.097,0.01,40.513
Clothes,3.03,100,EU,24.24,3.333,0.036,20.871
Paper,9.09,5,EU,24.543,9.999,0.005,14.539
Glass,1.4,50,India,2.24,2.8,0.008,0.0
Clothes,4.29,10,India,34.32,8.58,0.005,25.735
E-waste,7.65,75,India,91.8,15.3,0.069,76.431
E-waste,7.3,100,USA,87.6,8.76,0.088,78.752
Plastic,7.83,75,USA,46.98,9.396,0.07,37.514
Paper,2.24,5,EU,6.048,2.464,0.001,3.583
Glass,0.96,5,USA,1.536,1.152,0.001,0.383
Books,5.55,100,India,13.875,11.1,0.067,2.708
Paper,9.67,50,India,26.109,19.34,0.058,6.711
Clothes,9.4,10,EU,75.2,10.34,0.011,64.849
E-waste,0.98,5,India,11.76,1.96,0.001,9.799
Books,9.09,100,India,22.725,18.18,0.109,4.436
Plastic,6.13,10,Germany,36.78,3.065,0.007,33.708
E-waste,5.64,100,EU,67.68,6.204,0.068,61.408
Books,7.73,75,USA,19.325,9.276,0.07,9.979
Clothes,7.06,10,USA,56.48,8.472,0.008,48.0
Books,7.79,50,EU,19.475,8.569,0.047,10.859
Plastic,2.31,100,India,13.86,4.62,0.028,9.212
Paper,7.95,75,USA,21.465,9.54,0.072,11.853
Plastic,3.21,75,EU,19.26,3.531,0.029,15.7
Books,8.18,75,Germany,20.45,4.09,0.074,16.286
Plastic,1.96,50,India,11.76,3.92,0.012,7.828
Plastic,4.32,25,USA,25.92,5.184,0.013,20.723
E-waste,1.73,10,India,20.76,3.46,0.002,17.298
Clothes,8.74,25,Germany,69.92,4.37,0.026,65.524
Clothes,9.0,100,USA,72.0,10.8,0.108,61.092
Plastic,2.54,5,USA,15.24,3.048,0.002,12.19
Books,8.76,100,USA,21.9,10.512,0.105,11.283
E-waste,1.26,100,EU,15.12,1.386,0.015,13.719
Books,9.41,10,USA,23.525,11.292,0.011,12.222
Paper,8.16,50,EU,22.032,8.976,0.049,13.007
Plastic,7.66,25,Germany,45.96,3.83,0.023,42.107
Paper,7.73,10,India,20.871,15.46,0.009,5.402
E-waste,0.9,10,India,10.8,1.8,0.001,8.999
Plastic,3.29,50,USA,19.74,3.948,0.02,15.772
E-waste,3.33,5,USA,39.96,3.996,0.002,35.962
E-waste,6.05,100,Germany,72.6,3.025,0.073,69.502
Plastic,4.15,100,USA,24.9,4.98,0.05,19.87
Paper,7.25,25,Germany,19.575,3.625,0.022,15.928
Books,1.46,5,USA,3.65,1.752,0.001,1.897
Glass,9.72,10,India,15.552,19.44,0.012,0.0
Books,0.47,25,Germany,1.175,0.235,0.001,0.939
Clothes,4.65,75,USA,37.2,5.58,0.042,31.578
Paper,4.43,100,Germany,11.961,2.215,0.053,9.693
E-waste,7.5,10,India,90.0,15.0,0.009,74.991
Plastic,9.19,75,India,55.14,18.38,0.083,36.677
E-waste,3.75,5,EU,45.0,4.125,0.002,40.873
Paper,6.2,5,USA,16.74,7.44,0.004,9.296
Books,6.65,50,EU,16.625,7.315,0.04,9.27
E-waste,7.58,75,India,90.96,15.16,0.068,75.732
Glass,2.38,50,EU,3.808,2.618,0.014,1.176
Glass,9.87,5,India,15.792,19.74,0.006,0.0
Glass,1.69,25,Germany,2.704,0.845,0.005,1.854
Glass,9.79,5,Germany,15.664,4.895,0.006,10.763
Paper,3.72,10,EU,10.044,4.092,0.004,5.948
Glass,9.25,5,Germany,14.8,4.625,0.006,10.169
Glass,7.34,10,India,11.744,14.68,0.009,0.0
E-waste,6.2,50,Germany,74.4,3.1,0.037,71.263
E-waste,6.51,75,Germany,78.12,3.255,0.059,74.806
Paper,5.47,50,Germany,14.769,2.735,0.033,12.001
Glass,6.08,25,India,9.728,12.16,0.018,0.0
Glass,6.8,75,Germany,10.88,3.4,0.061,7.419
E-waste,2.08,75,USA,24.96,2.496,0.019,22.445
Paper,6.23,5,EU,16.821,6.853,0.004,9.964
